Latitude,Longitude
32.3248991,-6.3365387
-37.81349283433532,144.952370512958
-37.81349283433532,144.952370512958
-37.81349283433532,144.952370512958
-37.814686174408216,144.9521168606952
-37.8141762963675,144.9536861039471
-37.81542608755314,144.95323121715646
-37.8170340123188,144.95342864549278
-37.817850433957865,144.9546390403487
-37.819614043775125,144.95504620175706
-37.81811303286727,144.95584430341378
-37.81816014718782,144.95719348103026
-37.81927946491408,144.95715439359395
-37.81927946491408,144.95715439359395
-37.81975310376662,144.95538674933184
-37.81975310376662,144.95538674933184
-37.82088241540115,144.95534731290056
-37.82088241540115,144.95534731290056
-37.82088241540115,144.95534731290056
-37.81968846665874,144.95595566017022
-37.81968846665874,144.95595566017022
-37.818637078960194,144.95649136895992
-37.818637078960194,144.95649136895992
-37.81967074084306,144.95611514680226
-37.81967074084306,144.95611514680226
-37.81967074084306,144.95611514680226
-37.81967074084306,144.95611514680226
-37.820187296379764,144.95495494407106
-37.820187296379764,144.95495494407106
-37.820187296379764,144.95495494407106
-37.820187296379764,144.95495494407106
-37.820187296379764,144.95495494407106
-37.820187296379764,144.95495494407106
-37.819519930345145,144.95626472366163
-37.819519930345145,144.95626472366163
-37.819519930345145,144.95626472366163
-37.819519930345145,144.95626472366163
-37.82026618097385,144.95527441562916
-37.82026618097385,144.95527441562916
-37.82026618097385,144.95527441562916
-37.82026618097385,144.95527441562916
-37.82026618097385,144.95527441562916
-37.82026618097385,144.95527441562916
-37.82026618097385,144.95527441562916
-37.82026618097385,144.95527441562916
-37.82026618097385,144.95527441562916
-37.82026618097385,144.95527441562916
-37.8190616047336,144.9562498622353
-37.82010812276975,144.95520334419913
-37.81987890717523,144.95650329043312
-37.81987890717523,144.95650329043312
-37.81987890717523,144.95650329043312
-37.81987890717523,144.95650329043312
-37.81987890717523,144.95650329043312
-37.81987890717523,144.95650329043312
-37.81833501535181,144.95719067535993
-37.81833501535181,144.95719067535993
-37.817252611873414,144.9582000329328
-37.815379765841,144.95836388572917
-37.81719612529851,144.95814086483074
-37.816615017458844,144.9592813531817
-37.816615017458844,144.9592813531817
-37.81607930866915,144.96033274088023
-37.816577427945475,144.95888609745955
-37.816577427945475,144.95888609745955
-37.81702947320902,144.9573096282782
-37.815366704223365,144.95812061489977
-37.81424536078043,144.95871684378452
-37.81487506199043,144.95736644518183
-37.81437693054056,144.95866412197466
-37.81430992350689,144.96058295236253
-37.81430992350689,144.96058295236253
-37.815568899964454,144.95956345332903
-37.815568899964454,144.95956345332903
-37.815568899964454,144.95956345332903
-37.816213696759384,144.9607266975395
-37.81506147168836,144.9609298659074
-37.81506147168836,144.9609298659074
-37.81506147168836,144.9609298659074
-37.81618529024941,144.96020004960047
-37.81547112293803,144.96111414207465
-37.81547112293803,144.96111414207465
-37.81547112293803,144.96111414207465
-37.81547112293803,144.96111414207465
-37.81625983516351,144.95963079011864
-37.81625983516351,144.95963079011864
-37.81573648981205,144.96134257563182
-37.81573648981205,144.96134257563182
-37.81573648981205,144.96134257563182
-37.81573648981205,144.96134257563182
-37.81573648981205,144.96134257563182
-37.81573648981205,144.96134257563182
-37.81573648981205,144.96134257563182
-37.81573648981205,144.96134257563182
-37.81618089480323,144.95988899240277
-37.81468877455723,144.96109728755357
-37.81468877455723,144.96109728755357
-37.81468877455723,144.96109728755357
-37.81498921927508,144.960049512305
-37.816073423703656,144.9604017916786
